source_system,account_id,idp_user_id,employee_id,review_status
GitHub,gh-001,U003,E003,clear
GitHub,gh-002,U005,E005,clear
GitHub,gh-003,U009,E009,clear
GitHub,gh-004,U010,E010,clear
GitHub,gh-005,U013,E013,clear
GitHub,gh-006,U015,E015,clear
GitHub,gh-007,U018,E018,clear
GitHub,gh-008,U020,E020,clear
GitHub,gh-009,U023,E023,clear
GitHub,gh-010,U024,E024,clear
GitHub,gh-011,,,check_orphaned_accounts
GitHub,gh-012,U001,E001,clear
Salesforce,sf-001,U001,E001,clear
Salesforce,sf-002,U002,E002,clear
Salesforce,sf-003,U004,E004,clear
Salesforce,sf-004,U006,E006,clear
Salesforce,sf-005,U007,E007,clear
Salesforce,sf-006,U008,E008,check_terminated_active
Salesforce,sf-007,U011,E011,clear
Salesforce,sf-008,U012,E012,check_dormant
Salesforce,sf-009,U014,E014,clear
Salesforce,sf-010,U016,E016,clear
Salesforce,sf-011,U017,E017,clear
Salesforce,sf-012,U018,E018,check_direct_assignment
Salesforce,sf-013,U021,E021,clear
Salesforce,sf-014,U022,E022,clear
Salesforce,sf-015,U019,E019,clear
Salesforce,sf-016,,,check_orphaned_accounts
idp_users,U001,U001,E001,clear
idp_users,U002,U002,E002,clear
idp_users,U003,U003,E003,clear
idp_users,U004,U004,E004,check_nested_privileged_reach
idp_users,U005,U005,E005,clear
idp_users,U006,U006,E006,clear
idp_users,U007,U007,E007,check_nested_privileged_reach
idp_users,U008,U008,E008,"check_nested_privileged_reach,check_terminated_active"
idp_users,U009,U009,E009,clear
idp_users,U010,U010,E010,clear
idp_users,U011,U011,E011,clear
idp_users,U012,U012,E012,check_dormant
idp_users,U013,U013,E013,clear
idp_users,U014,U014,E014,check_nested_privileged_reach
idp_users,U015,U015,E015,clear
idp_users,U016,U016,E016,clear
idp_users,U017,U017,E017,check_nested_privileged_reach
idp_users,U018,U018,E018,clear
idp_users,U019,U019,E019,clear
idp_users,U020,U020,E020,clear
idp_users,U021,U021,E021,clear
idp_users,U022,U022,E022,check_nested_privileged_reach
idp_users,U023,U023,E023,clear
idp_users,U024,U024,E024,clear
idp_users,U025,U025,,check_completeness
